Refcode,metal,Atomic_number,Atomic_weight,Atomic_redius,M_electronegativity,Polarizability,Electron_affinity,Allen_en,Ghosh_en,Pauling_en,Inchikey
AGARAC,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,JXLABWFCRZXHDW-UHFFFAOYSA-N
AGEDIC,Ga,31,69.723,1.22,2.9996509,50.0,0.43,10.39,0.17237729999999998,1.81,RXCLNJHKYYZNSF-OWOJBTEDSA-N
AGEGUR,Tb,65,158.92535,1.94,2.9319,170.0,1.165,,0.198863,,RQGZNDGYEYNRHL-UHFFFAOYSA-N
AGEWOB,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,QLBCGFFPCNSOFA-UHFFFAOYSA-N
AGEZOD,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,IMEVSAIFJKKDAP-UHFFFAOYSA-N
AGEZUJ,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,IMEVSAIFJKKDAP-UHFFFAOYSA-N
AGIYEU01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
AGIYEU02,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
AGORUK,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
AGPYRZ,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,KYQCOXFCLRTKLS-UHFFFAOYSA-N
AGPYRZ02,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,KYQCOXFCLRTKLS-UHFFFAOYSA-N
AGUMUL,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,IORQSJPVIZBFPG-UHFFFAOYSA-N
AGUPIC,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,SPBIYDCOCLAZFZ-UHFFFAOYSA-N
AGUPUO,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,FYIKQKXWMOIVTM-UHFFFAOYSA-N
AHABET,Sc,21,44.955908,1.7,3.280745,97.0,0.188,7.042000000000001,0.11938330000000001,1.36,RAXJMYHMQXJGIN-UHFFFAOYSA-N
AHAHOI,Yb,70,173.054,1.87,3.12708,139.0,-0.02,,0.22119,,DGEZNRSVGBDHLK-UHFFFAOYSA-N
AHAWOW,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,UCZVNPYAHSTBMW-UHFFFAOYSA-N
AHAXUD,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,WIWWTNHZZJSZMI-UHFFFAOYSA-N
AHEFAU,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,JQCRVCBHKUGTNA-UHFFFAOYSA-N
AHIBUQ,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,NYAZXHASVIWIRJ-UHFFFAOYSA-N
AHIFEF,Pt,78,195.084,1.36,4.479415,48.0,2.128,10.16,0.25690999999999997,2.2,UXTFKIJKRJJXNV-UHFFFAOYSA-N
AHIHUX,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,SAGGPJWMGVWWLB-UHFFFAOYSA-N
AHIKUZ,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,QRZWEROLVZUPJH-KQQUZDAGSA-N
AHINAH,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,YNRBOJQEYFECNY-UHFFFAOYSA-N
