,compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,Egap,catalog,nspecies
967,Pb1S1,aflow:2c833d921806ac73,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_53932,225,cF8,0.4655,ICSD,2
968,Pb1S1,aflow:a2b3044b231b2165,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648453,225,cF8,0.4655,ICSD,2
969,Pb1S1,aflow:c9458860374a0341,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_657560,225,cF8,0.4655,ICSD,2
970,Pb1S1,aflow:d2c1dec7fe199eec,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648447,225,cF8,0.4655,ICSD,2
971,Os2Sb4,aflow:8c4682bfb76a50e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Sb2_ICSD_42611,58,oP6,0.4659,ICSD,2
972,Sr1Te1,aflow:866a544848305c9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Sr1Te1_ICSD_52491,221,cP2,0.4662,ICSD,2
973,Pb1S1,aflow:dd4db7aef5627e72,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_186786,225,cF8,0.4686,ICSD,2
974,Pb1S1,aflow:6a103f220fdba2ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_290053,225,cF8,0.4691,ICSD,2
975,Pb1S1,aflow:bc345b56d60f9caf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_183004,225,cF8,0.4691,ICSD,2
976,La8S16,aflow:12716a78f4da5879,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La1S2_ICSD_418405,62,oP24,0.4696,ICSD,2
977,Ba8Ge16,aflow:45aac5fd280a2d7b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ba2Ge4_ICSD_409260,62,oP24,0.4699,ICSD,2
978,Na6P2,aflow:ef00d5055a972435,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na3P1_ICSD_171012,194,hP8,0.4702,ICSD,2
979,Pb4S4,aflow:612b3a8d9916f74d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pb1S1_ICSD_648438,225,cF8,0.4704,ICSD,2
980,Ba8Ge16,aflow:39ab87f98ea12814,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ba1Ge2_ICSD_615881,62,oP24,0.4712,ICSD,2
981,La8S16,aflow:0ae484500d7550a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La1S2_ICSD_659874,62,oP24,0.4713,ICSD,2
982,La8S16,aflow:cedc00f3b16b9b51,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La1S2_ICSD_1435,62,oP24,0.4724,ICSD,2
983,Nb8O16,aflow:d38c57b1ed1612fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1O2_ICSD_35181,80,tI48,0.4731,ICSD,2
984,Ba8Ge16,aflow:8b77e266cff4f305,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ba1Ge2_ICSD_84950,62,oP24,0.4732,ICSD,2
985,Pb1S1,aflow:a0a905d8e3126e6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_183239,225,cF8,0.4742,ICSD,2
